cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__max_iter,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
52,0.9200992811765853,Yes,0.9466459288902125,0.9312358777252074,1.0580803871154785,0.9372265493863903,relu,0.01,1024,"(20, 15, 10)",constant,0.01,2000,0.00017844557141627633,199,0.5,2.1307455782489266e-06,0.01,26,26
14,0.9279590870643863,Yes,0.964100708925081,0.9310724462945053,1.3015924930572509,0.9399366401857291,relu,0.01,1250,"(64, 40, 30, 20)",adaptive,0.01,2000,1.2606580582274817e-06,225,0.45,3.349017149651933e-05,0.005,4,27
33,0.9246913502082716,Yes,0.9508249182983571,0.9307683193508115,1.482630157470703,0.9401985258439906,relu,0.1,1250,"(64, 40, 30, 20)",invscaling,0.001,2000,1.245701663652875e-06,209,0.4,1.1717824992481363e-05,0.0075,3,28
8,0.9299280205851123,Yes,0.9691790362523057,0.9307024532831365,1.4843317985534668,0.936986650614763,relu,0.05,1250,"(64, 40, 30, 20)",adaptive,0.01,3000,3.437788661779578e-05,286,0.55,1.951396765593445e-05,0.0075,30,29
26,0.9257586476668935,Yes,0.9497583198464401,0.9302779779395646,1.4444796562194824,0.938827798508246,relu,0.1,256,"(64, 40, 30, 20)",constant,0.001,2000,4.00850491639228e-05,223,0.4,4.366155530936153e-06,0.005,10,30
19,0.927231760836276,Yes,0.9746232346767919,0.9300490741973992,2.473737049102783,0.9368357260393229,relu,0.05,1024,"(64, 40, 30, 20)",invscaling,0.001,2000,0.0001723131503386636,252,0.55,1.799536275076238e-06,0,33,31
13,0.9281975679127795,Yes,0.9573521905949048,0.9297651412502043,1.659611701965332,0.9382510069040354,relu,0.15,256,"(64, 40, 30, 20)",invscaling,0.001,3000,2.0905867705484043e-06,256,0.45,2.3781668412074263e-06,0.0025,13,32
34,0.9243995777434707,Yes,0.9570062146030561,0.9297266528996408,1.2051695823669433,0.9371849862941106,relu,0.1,700,"(20, 15, 10)",constant,0.01,3000,2.641708665463024e-05,232,0.45,1.5990822076470693e-05,0.005,27,33
57,0.9169488098961429,Yes,0.9396560072976943,0.9295468564237399,1.318700647354126,0.9360135779289855,relu,0.1,256,"(20, 15, 10)",invscaling,0.001,3000,4.5161007038916586e-05,144,0.4,3.5909103890623255e-05,0.0025,46,34
60,0.9152584527837202,Yes,0.9360989435982958,0.9295059626994265,1.061950159072876,0.9350095755807992,relu,0.01,1024,"(20, 15, 10)",invscaling,0.01,3000,3.124230684943046e-05,260,0.4,1.0353059889022391e-06,0.01,56,35
24,0.9259652893170671,Yes,0.9572425481814385,0.9294118658642797,1.6724105834960938,0.9363482988271672,relu,0.01,256,"(20, 15, 10)",adaptive,0.01,2000,2.1863220634581608e-06,288,0.45,4.762074362660965e-05,0,42,36
