cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__max_iter,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
15,0.9187776842780482,Yes,0.9339659412426643,0.9254780202889361,1.705515480041504,0.9396794290228506,tanh,0.001,1024,"(20, 15, 10)",constant,0.001,100,1.4393910893270907e-05,279,0.6,6.321732490144021e-05,0.005,if_binary,4,23
17,0.9183850456692693,Yes,0.9348635044885519,0.9245514075769345,2.5490950107574464,0.9411687737780158,tanh,0.1,256,"(15, 10, 5)",invscaling,0.001,200,1.1267277996879666e-05,209,0.5,1.7952338368491252e-06,0,,2,24
32,0.7313581809120395,Yes,0.9304321058359213,0.9231788627728386,1.0837722301483155,0.749401873985708,relu,0.001,512,"(15, 10, 5)",adaptive,0.001,100,0.00012325158377757164,214,0.4,2.105025824748384e-06,0.0075,,32,25
12,0.9193403976810736,Yes,0.9310435214422709,0.9229951386123394,1.2776015758514405,0.9394062305451744,relu,0.1,512,"(15, 10, 5)",invscaling,0.001,200,0.0002360327600127809,273,0.55,4.048966222584673e-05,0.0075,,5,26
14,0.9188593742529594,Yes,0.9534611845657414,0.9226549362042606,1.957352066040039,0.9390112918895408,tanh,0.01,512,"(15, 10, 5)",adaptive,0.01,200,1.3592365321959398e-05,256,0.4,2.382318380657104e-05,0,,7,27
3,0.9250444666657307,Yes,0.9369520533860904,0.9217646804474567,1.8185846328735351,0.9347101398780255,relu,0.001,256,"(15, 10, 5)",adaptive,0.01,100,3.337229276553642e-05,254,0.6,9.407718327908903e-06,0.005,if_binary,21,28
2,0.9262007580604456,Yes,0.946824107858554,0.9215777821110689,2.509772300720215,0.9404118976187466,relu,0.1,512,"(15, 10, 5)",constant,0.01,300,0.00020434554984161395,144,0.45,5.211124595788263e-06,0,,3,29
13,0.918981667670964,Yes,0.9237506159643782,0.9211794034462947,1.5365309715270996,0.9368495370698057,tanh,0.001,512,"(20, 15, 10)",invscaling,0.001,200,0.0003313483615508948,153,0.55,1.2315571723666019e-06,0.01,,16,30
6,0.9231793863070485,Yes,0.9532860174377558,0.9210070814447991,2.0667330741882326,0.939297543812137,tanh,0.01,1024,"(15, 10, 5)",invscaling,0.01,200,2.7028155941428444e-05,269,0.45,3.0306601291651846e-05,0,if_binary,6,31
16,0.9185257772409606,Yes,0.9464575152710595,0.920538198856821,2.36205940246582,0.9351031801203418,tanh,0.01,512,"(20, 15, 10)",invscaling,0.01,100,3.46959166033029e-05,268,0.4,1.9741504223018505e-05,0,,18,32
18,0.9182563646297188,Yes,0.9246818291629274,0.9202301409664653,1.1663792610168457,0.9382357481061657,tanh,0.1,1024,"(15, 10, 5)",constant,0.01,200,1.0738863822479566e-05,174,0.4,2.048543878795237e-05,0.01,,10,33
26,0.9146477245384345,Yes,0.920541177595629,0.919761656372453,1.8672704219818115,0.9349266223687597,tanh,0.01,256,"(20, 15, 10)",adaptive,0.0001,300,1.587663635715072e-05,253,0.6,7.469582076754584e-05,0.0075,if_binary,20,34
22,0.915988862445789,Yes,0.9214960558197777,0.9192716896049916,1.7892601013183593,0.9370072578094032,tanh,0.01,1024,"(15, 10, 5)",invscaling,0.001,100,6.374033423554005e-05,172,0.6,6.266275266989063e-06,0.0025,,15,35
24,0.9157500582132366,Yes,0.9204293894933849,0.9190670998113623,1.3701295375823974,0.9412931287887467,logistic,0.001,128,"(20, 15, 10)",adaptive,0.001,100,0.00014059738430412236,290,0.45,3.280071082578534e-06,0.0075,,1,36
5,0.9241324136436238,Yes,0.9353806797743854,0.9182773803524783,2.535779571533203,0.9384468275457365,relu,0.001,512,"(15, 10, 5)",adaptive,0.001,300,5.9545537938889905e-05,190,0.55,1.0677482709481349e-05,0,if_binary,9,37
25,0.9148775587961409,Yes,0.9214150311833466,0.9162154013417981,1.1681659698486329,0.9341630023121053,tanh,0.001,512,"(20, 15, 10)",invscaling,0.001,100,0.00013232915521487948,256,0.4,8.123263880610649e-05,0.01,,22,38
36,0.5160823894957345,Yes,0.8654733519913451,0.8621448925890104,2.3638477325439453,0.4861159578883833,logistic,0.01,512,"(20, 15, 10)",constant,0.0001,100,8.452526848156866e-05,240,0.55,5.918413104745487e-06,0,,36,39
40,0.019684699674644753,Yes,0.8464895104520228,0.8460618904674422,1.3464513301849366,0.01086845006977501,logistic,0.001,1024,"(20, 15, 10)",invscaling,0.0001,300,3.375589571206083e-05,176,0.5,1.5226341829186314e-05,0.005,if_binary,40,40
