cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_transformer__ohe__drop,param_transformer__num__poly__degree,param_transformer__cat__rest_encoder__sigma,param_transformer__cat__rest_encoder__a,param_transformer__cat__combiner__rare_to_value,param_over__sampling_strategy,param_over__k_neighbors,param_gbc__subsample,param_gbc__n_estimators,param_gbc__min_samples_split,param_gbc__min_samples_leaf,param_gbc__max_features,param_gbc__max_depth,param_gbc__loss,param_gbc__learning_rate,param_gbc__criterion,rank_test_precision_weighted,holdout_rank_f1_weighted
31,0.9325423162210997,Yes,0.9354678785914554,0.932108788917422,10.598169994354247,0.9456765711054322,if_binary,1,0.15,1.2,0.0025,0.475,253,0.9,3300,0.01375,43,sqrt,2,log_loss,0.004,friedman_mse,52,40
47,0.9308315572855637,Yes,0.93328280789928,0.9320516440650023,7.458824491500854,0.9462919807392488,if_binary,1,0.15,1.4,0.002,0.45,172,0.58,3400,0.01125,37,sqrt,2,log_loss,0.003,friedman_mse,36,41
41,0.931412303666637,Yes,0.9380434399780493,0.9319707586962732,13.333472108840942,0.9457962215947131,if_binary,1,0.15,1,0.0035,0.42500000000000004,293,0.8200000000000001,3200,0.01375,37,sqrt,4,log_loss,0.002,friedman_mse,49,42
46,0.9308818342362939,Yes,0.9321447747717623,0.9318891355311519,7.832571172714234,0.9459070845172354,if_binary,1,0.15,1,0.003,0.5,219,0.66,2000,0.01375,45,sqrt,3,log_loss,0.002,friedman_mse,45,43
45,0.9310223357951276,Yes,0.9328774986425176,0.9316673862233538,6.970946598052978,0.9465947007697009,if_binary,1,0.1,1,0,0.42500000000000004,173,0.74,3000,0.015,40,sqrt,2,log_loss,0.003,friedman_mse,26,44
33,0.9324741539241531,Yes,0.933770247210868,0.9315863637216479,6.962680149078369,0.9469689090130273,if_binary,1,0.1,1.4,0.002,0.42500000000000004,210,0.58,2000,0.0125,45,sqrt,4,log_loss,0.003,friedman_mse,14,45
34,0.9324387012339213,Yes,0.9375209737847161,0.9315046025543476,13.677652502059937,0.9469302076424473,if_binary,1,0.1,1.2,0.0025,0.45,183,0.74,2700,0.01,45,sqrt,5,log_loss,0.002,friedman_mse,15,46
49,0.9307492230188394,Yes,0.9326308106037433,0.9315046025543476,11.55043535232544,0.9459098475647704,if_binary,1,0.05,1.4,0.003,0.5,205,0.9,3400,0.0125,47,sqrt,2,log_loss,0.002,friedman_mse,44,47
48,0.9308120012849095,Yes,0.9329432969376943,0.9314220952109922,8.888498449325562,0.9461192692807023,if_binary,1,0.05,1.2,0.003,0.475,242,0.74,2300,0.01375,45,sqrt,3,log_loss,0.002,friedman_mse,39,48
44,0.931078348629622,Yes,0.9329329960227807,0.9312548114195279,9.928670072555542,0.9457892097210661,if_binary,1,0.1,1,0.002,0.5,262,0.74,3200,0.015,43,sqrt,2,log_loss,0.002,friedman_mse,50,49
50,0.9307481791654697,Yes,0.9316196938371049,0.9311203931799766,8.699160861968995,0.9469738031912875,if_binary,1,0.1,1.4,0.002,0.5,144,0.58,3500,0.0125,47,sqrt,2,log_loss,0.002,friedman_mse,13,50
55,0.9298416199749555,Yes,0.9329982996174004,0.9308185338783022,4.125001859664917,0.9452925265571528,if_binary,1,0.1,1.3,0,0.4,243,0.5,2400,0.01375,47,sqrt,2,log_loss,0.004,friedman_mse,57,51
43,0.9313166147272393,Yes,0.9328971655099809,0.9303529351666275,10.88282494544983,0.9464050681131274,if_binary,1,0.1,1.4,0.002,0.42500000000000004,288,0.74,3300,0.01125,40,sqrt,3,log_loss,0.002,friedman_mse,33,52
59,0.9288320087542244,Yes,0.9303511769527163,0.9296691521171574,4.588106107711792,0.9453941321111887,if_binary,1,0.1,1,0.0035,0.4,209,0.5,2100,0.015,45,sqrt,2,log_loss,0.002,friedman_mse,56,53
53,0.9299607845404946,Yes,0.9326675983436181,0.9293684342339193,6.883665418624878,0.9465561479879472,if_binary,1,0.1,1.2,0,0.42500000000000004,197,0.8200000000000001,2800,0.01125,40,sqrt,2,log_loss,0.002,friedman_mse,28,54
52,0.9303818324152175,Yes,0.9329244748485004,0.9291208291881992,6.762413215637207,0.9463594488732209,if_binary,1,0.05,1.4,0,0.42500000000000004,180,0.74,3100,0.01,37,sqrt,2,log_loss,0.002,friedman_mse,35,55
57,0.9293301759395811,Yes,0.9309629805801654,0.9291208291881992,6.846433687210083,0.9456171930476399,if_binary,1,0.15,1.2,0.003,0.45,229,0.74,2400,0.0125,43,sqrt,2,log_loss,0.002,friedman_mse,53,56
54,0.9298551238602772,Yes,0.932850420915736,0.9289863519834434,7.517994356155396,0.9454200181113178,if_binary,1,0.15,1.3,0.0035,0.45,183,0.5,2400,0.0125,37,sqrt,4,log_loss,0.002,friedman_mse,55,57
58,0.9291527734513313,Yes,0.9317598293321838,0.9289863519834434,7.355984497070312,0.9452659927395434,if_binary,1,0.15,1.3,0.0035,0.45,264,0.8200000000000001,2500,0.01125,47,sqrt,2,log_loss,0.002,friedman_mse,58,58
60,0.9284489235081198,Yes,0.9297682523760621,0.9282230885299282,5.993274402618408,0.9452409257542504,if_binary,1,0.15,1,0.003,0.4,263,0.9,2200,0.01375,43,sqrt,2,log_loss,0.002,friedman_mse,59,59
56,0.9297877232881435,Yes,0.9308459906357456,0.9275426276233579,8.181432628631592,0.9451544472786766,if_binary,1,0.05,1.3,0.002,0.45,182,0.8200000000000001,2900,0.01375,37,sqrt,2,log_loss,0.003,friedman_mse,60,60
