cv_rank_f1,cv_f1,is_overfit,train_f1,test_f1,mean_fit_time,mean_test_precision,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision,holdout_rank_f1
30,0.466795557696174,No,0.495114006514658,0.5114754098360655,3.4200259685516357,0.8756846379842896,0.6351898464487495,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,8.740625068646195e-06,1.058710550067319e-05,0.0025,2,if_binary,24,11
34,0.4247367840271502,No,0.43448275862068964,0.43749999999999994,3.539045476913452,0.9062656696585268,2.4247925636819856,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,6.376676084250674e-05,2.112725104371141e-06,0.0075,2,if_binary,18,12
37,0.3921268479947725,No,0.41176470588235287,0.4335664335664336,3.471953248977661,0.9065609943091509,38.24720927884771,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,3.8593861132222985e-05,1.0455565000517713e-05,0.0025,2,if_binary,17,13
35,0.41808223806458356,No,0.4277456647398844,0.4320557491289199,3.4215158462524413,0.9090561224489795,1.7031640354891635,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,6.834934821138925e-06,2.9090492806327536e-06,0.0075,2,if_binary,14,14
40,0.32755588553827636,No,0.3374689826302729,0.35294117647058826,3.4539238452911376,0.957832704929479,58.62849327382867,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,7.178029799435357e-07,1.3906427570267447e-06,0.0025,2,if_binary,8,15
42,0.29731167026860145,No,0.319496855345912,0.3283582089552239,3.4490758419036864,0.9475897435897436,8.829095826430969,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,1.2291994389076217e-06,3.625447450121721e-05,0.0025,2,if_binary,10,16
45,0.2333114060652489,No,0.23778071334214002,0.25098039215686274,0.7529667854309082,0.9468939393939394,81.93549860707999,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,1.8763370389225356e-06,7.166965900105868e-07,0.005,1,if_binary,11,17
46,0.22924544999573424,No,0.23076923076923078,0.25098039215686274,0.7445614337921143,0.9638095238095238,40.13937739228409,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,4.680237725453058e-06,4.431266310270949e-05,0.005,1,if_binary,7,18
48,0.15389211007655923,No,0.16758241758241757,0.17959183673469387,0.7301679134368897,0.9800000000000001,6.508815100591766,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,2.792791180318577e-06,1.3914633952806308e-05,0.0075,1,if_binary,4,19
51,0.10747925603179428,No,0.11847672778561354,0.13389121338912133,3.5918842792510985,1.0,0.6033539675892425,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,9.888512498658543e-05,2.1861294912693887e-06,0.0025,2,if_binary,1,20
55,0.017564352152282067,No,0.04685212298682284,0.05240174672489083,3.3439595699310303,0.6,0.23554586031685715,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,4.961573798402752e-06,2.5713495188894903e-05,0.005,2,if_binary,55,21
56,0.0,No,0.0,0.0,0.785175085067749,0.0,0.11139287453472525,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,8.299990633326051e-05,2.05054913074884e-06,0.0025,1,if_binary,56,22
56,0.0,No,0.0,0.0,0.7425261974334717,0.0,0.2439093553738545,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,5.032998112098559e-06,6.381793587017703e-06,0.0075,1,if_binary,56,23
56,0.0,No,0.0,0.0,0.659750509262085,0.0,0.1158862644585505,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,1.4803974155265022e-05,4.792157860457687e-05,0.0025,1,if_binary,56,24
1,0.6557189300808741,Yes,0.6760316066725198,0.6612466124661247,0.7640546798706055,0.8006537241745952,51.44441338114046,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.8510659595490087e-06,8.490702866610214e-07,0.0075,1,if_binary,45,25
1,0.6557189300808741,Yes,0.6760316066725198,0.6612466124661247,0.7857422351837158,0.8006537241745952,59.805418129929784,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.0725904158724273e-06,7.581370041704874e-06,0.0075,1,if_binary,45,26
3,0.6536794464840232,Yes,0.6743362831858407,0.6558265582655827,3.46707820892334,0.7977728434030954,86.55641494612355,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,7.956473126946212e-05,3.476477990324165e-05,0.005,2,if_binary,53,27
4,0.6499591393275248,Yes,0.6772767462422634,0.6539509536784742,3.5440126419067384,0.7996306083199296,12.276070932389318,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,8.1129563330982e-06,6.5189519093092285e-06,0.005,2,if_binary,51,28
8,0.6359046862732167,Yes,0.6498649864986499,0.6448087431693988,0.6905856132507324,0.7957801453914899,32.17614246325092,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.3546976335360486e-05,1.0847820968587738e-05,0.005,1,if_binary,54,29
5,0.6479414378350473,Yes,0.696103896103896,0.6430517711171662,0.4237395763397217,0.7986701480938097,79.92868347030745,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,9.99171313532086e-06,1.029161931538682e-06,0,1,if_binary,52,30
