cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__early_stopping,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__solver,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
17,0.9261891676771155,Yes,0.9518944423895384,0.9284212131570266,1.2294846534729005,0.9371627591279094,relu,0.0001,128,True,"(64, 32)",adaptive,0.001,adam,0.00029059993351330724,175,0.45,3.1625172163267616e-06,0.01,1,if_binary,34,21
5,0.9305515272458813,Yes,0.9613507476294675,0.9282449721841335,2.2621791839599608,0.9414073148024954,tanh,0.0001,512,True,"(64, 32, 16)",adaptive,0.01,adam,3.223497206159473e-05,269,0.45,3.0306601291651846e-05,0,1,if_binary,9,22
1,0.9330091711796434,Yes,0.974237363220013,0.927998226564675,2.8547075271606444,0.9418485839462146,tanh,0.001,128,True,"(64, 32, 16)",adaptive,0.01,adam,0.00041708713025993713,292,0.6,1.4560904745083124e-06,0,1,,6,23
20,0.9254636039981531,Yes,0.9562845713690987,0.9279553233235373,1.645482063293457,0.9373519866207879,relu,1e-05,128,True,"(64, 32)",adaptive,0.001,adam,0.00017859913049348742,204,0.4,2.00895192351347e-05,0.005,1,if_binary,32,24
6,0.9303552405489514,Yes,0.9730887225425241,0.9278243645494451,2.421518421173096,0.9388110248814863,tanh,0.0001,512,True,"(64, 32)",adaptive,0.01,adam,0.00024744252044213834,214,0.6,1.197767854422172e-06,0,1,if_binary,21,25
19,0.9255184184526136,Yes,0.9516557913627723,0.9277760476736455,31.42951617240906,0.9356345481626125,relu,0.001,512,True,"(64, 32, 16)",adaptive,0.001,adam,4.253162363790869e-05,235,0.55,6.533305220227734e-05,0.01,3,if_binary,37,26
3,0.9319022822826077,Yes,0.9748330311224405,0.9276105786878037,38.50729541778564,0.9374880204278101,relu,0.0001,256,True,"(64, 32, 16)",invscaling,0.001,adam,0.00017177621112338378,197,0.6,7.309539835912909e-06,0,3,if_binary,31,27
35,0.9178896711556213,Yes,0.9362424915587532,0.9275929121257709,5.4660444259643555,0.9418248345872989,logistic,0.001,256,True,"(64, 32, 16)",adaptive,0.001,adam,9.325238385910693e-05,190,0.45,4.734022773404191e-06,0.005,2,,7,28
38,0.9174785633362335,Yes,0.9282336919619101,0.9263653173562031,26.912838983535767,0.9352952003238979,relu,1e-05,512,True,"(64, 32, 16)",constant,0.1,adam,0.00015197980620034217,286,0.45,1.0572705046816881e-05,0.005,3,,38,29
39,0.9153724676865205,Yes,0.9538009047089658,0.9249957960055928,7.690826034545898,0.9372897323816451,relu,0.001,512,True,"(64, 32, 16)",invscaling,0.1,adam,3.174834234508596e-05,256,0.4,2.382318380657104e-05,0,2,,33,30
23,0.9237738871114146,Yes,0.9355599831149913,0.9240277151178903,5.083183813095093,0.9385594793795228,relu,1e-05,512,True,"(64, 32, 16)",constant,0.1,adam,4.809862951501385e-05,290,0.45,3.280071082578534e-06,0.0075,2,,25,31
24,0.9227081044422336,Yes,0.9399158767951186,0.9236624304307097,28.27087903022766,0.9398219263847745,logistic,0.001,512,True,"(64, 32)",adaptive,0.1,adam,0.000348771262454593,144,0.45,5.211124595788263e-06,0,3,if_binary,14,32
32,0.9192081781668193,Yes,0.9284023371300647,0.923500396374269,6.2737464427948,0.9382282938856538,tanh,0.001,128,True,"(64, 32)",invscaling,0.1,adam,0.00034828467065268836,242,0.5,1.110364731305462e-05,0.0025,2,,27,33
9,0.9286015561373283,Yes,0.9556125953474719,0.9232459533307618,5.275098562240601,0.9418990234031954,relu,1e-05,256,True,"(64, 32)",invscaling,0.001,adam,0.0006321732490144022,148,0.4,4.993662066506421e-06,0.005,2,,5,34
30,0.9194974118422795,Yes,0.9312033360244927,0.9207748725653514,33.6389139175415,0.9385808477828151,tanh,1e-05,256,True,"(64, 32)",invscaling,0.1,adam,0.00031292304511228023,176,0.6,7.184032636581677e-06,0.01,3,if_binary,24,35
29,0.9197461054372544,Yes,0.9242700467802096,0.917902313596042,7.996769380569458,0.9423224578073113,logistic,0.001,256,True,"(64, 32, 16)",adaptive,0.001,adam,1.739118983167296e-05,168,0.55,1.235962471258738e-06,0,2,,2,36
34,0.9180000119680771,Yes,0.9274479644126679,0.9178201920615654,36.4762508392334,0.9396709443840319,logistic,0.001,512,True,"(64, 32, 16)",adaptive,0.001,adam,0.0002860439042982461,163,0.6,1.8391267498289006e-05,0.005,3,,16,37
4,0.9306438966375922,Yes,0.9386701599727011,0.9169398047586552,5.267232513427734,0.9381298159929875,relu,1e-05,512,True,"(64, 32)",adaptive,0.01,adam,0.0005766810466779007,184,0.4,1.6255057858173058e-06,0.0075,2,,28,38
40,0.9147164864501504,Yes,0.9200304334325926,0.9124413853657191,5.3565420627594,0.9386671196839844,tanh,1e-05,256,True,"(64, 32, 16)",constant,0.1,adam,4.9272958811361184e-05,240,0.45,1.7049050458377177e-05,0.01,2,,22,39
36,0.9176603956644083,Yes,0.9174416364858007,0.9115297194988071,2.347939682006836,0.9424280783048763,logistic,1e-05,256,True,"(64, 32)",constant,0.001,adam,3.913334858104373e-05,184,0.4,1.0746642789365077e-06,0,1,,1,40
